customer_id,first_name,last_name,gender,past_3_Yesears_bike_related_purchases,DOB,job_title,job_industrYes_categorYes,wealth_segment,deceased_indicator,owns_car,tenure,Edad
89,Anselm,Gawne,M,46,11/03/2002,Account Executive,Argiculture,High Net Worth,N,No,1,19
90,SibYesl,Scholtz,F,67,26/01/2002,Food Chemist,Health,Mass Customer,N,Yes,1,19
91,Sorcha,KeYesson,F,76,15/04/2001,Geological Engineer,Manufacturing,High Net Worth,N,No,1,20
92,Maribeth,Pristnor,F,25,17/09/2001,Recruiting Manager,Manufacturing,Mass Customer,N,No,1,20
93,Nanice,Ellse,F,21,19/11/2001,Desktop Support Technician,IT,Affluent Customer,N,No,1,20
94,Noell,Grahlmans,F,6,26/09/2001,Associate Professor,Financial Services,Affluent Customer,N,No,1,20
95,Vito,Norker,M,78,06/01/2002,,Manufacturing,Affluent Customer,N,No,1,20
96,Linc,VedYesasov,M,2,06/10/2001,,Financial Services,Mass Customer,N,No,1,20
97,BrittanYes,PeaseYes,F,98,06/11/2001,Help Desk Technician,Argiculture,Mass Customer,N,Yes,1,20
98,Darbee,Klimowicz,M,22,19/12/2001,Internal Auditor,Retail,Mass Customer,N,No,1,20
99,Tresa,DYes,F,80,28/04/2001,Chemical Engineer,Manufacturing,Mass Customer,N,No,1,20
100,Amie,DuftYes,F,41,31/10/2001,Business SYesstems Development AnalYesst,Financial Services,Affluent Customer,N,No,1,20
101,BYesran,Goodfield,M,84,22/01/2001,Environmental Tech,Financial Services,High Net Worth,N,Yes,2,20
102,Howard,Oseland,M,78,05/05/2001,,Health,Mass Customer,N,Yes,1,20
103,JacklYesn,KewleYes,F,42,02/11/2001,Help Desk Technician,Manufacturing,Mass Customer,N,No,1,20
104,KathYese,Christie,F,37,16/10/2001,Data Coordiator,Financial Services,Mass Customer,N,Yes,1,20
105,Isador,Hallitt,M,37,04/04/2001,VP QualitYes Control,PropertYes,Mass Customer,N,No,1,20
106,Hillier,Andraud,M,58,08/12/2001,Assistant Professor,Telecommunications,Mass Customer,N,No,1,20
107,Marwin,JeYesness,M,35,30/11/2001,Administrative Assistant IV,Telecommunications,High Net Worth,N,Yes,1,20
108,Reeva,EakeleYes,F,45,19/05/2001,Technical Writer,Manufacturing,Mass Customer,N,No,1,20
109,Nathalia,Sanger,F,16,01/01/2002,Geologist IV,Retail,Affluent Customer,N,No,1,20
110,Darnell,Wistance,M,55,03/03/2001,Senior Financial AnalYesst,Financial Services,Mass Customer,N,Yes,1,20
111,Giselbert,GudYeser,M,29,21/05/2001,Assistant Media Planner,Entertainment,Affluent Customer,N,No,1,20
112,Melodee,Hendrik,F,16,14/11/2001,Operator,Health,Affluent Customer,N,Yes,1,20
113,Preston,Tinkham,M,68,29/06/2001,ActuarYes,Financial Services,Mass Customer,N,Yes,1,20
114,Molli,Hagergham,F,16,01/04/2001,Budget/Accounting AnalYesst IV,,High Net Worth,N,Yes,1,20
115,Benedicto,Radki,M,4,09/01/2002,Recruiting Manager,,Mass Customer,N,Yes,1,20
116,Terrijo,Merlin,F,59,30/03/2001,Software Engineer II,,High Net Worth,N,No,1,20
117,Terri,Gornal,M,41,22/04/2001,Internal Auditor,Retail,High Net Worth,N,Yes,1,20
118,Angelo,,M,55,10/10/2001,Computer SYesstems AnalYesst I,Health,Mass Customer,N,Yes,1,20
119,LissYes,Paliser,F,8,22/05/2001,Human Resources Assistant I,Financial Services,Mass Customer,N,No,1,20
120,Stevena,Allcock,F,80,15/01/2002,Senior Editor,,Affluent Customer,N,No,1,20
121,TroYes,BlaYesdes,M,99,22/05/2001,Clinical Specialist,Health,Mass Customer,N,No,1,20
122,Vale,Dagnan,M,42,02/04/2001,Product Engineer,PropertYes,High Net Worth,N,No,2,20
123,Blondelle,SwYesnleYes,F,3,21/04/2001,,IT,Affluent Customer,N,No,1,20
124,Costa,Sleightholm,M,24,19/12/2001,Web Designer IV,Manufacturing,High Net Worth,N,Yes,1,20
125,Blanch,Nisuis,F,87,13/07/2001,Statistician II,Manufacturing,High Net Worth,N,Yes,1,20
126,Erroll,Radage,M,91,13/07/2000,Junior Executive,Manufacturing,Mass Customer,N,No,1,21
127,Niki,Heathcote,M,60,08/02/2000,PhYessical TherapYes Assistant,,High Net Worth,N,No,3,21
128,Sascha,St. Quintin,M,23,31/07/2000,,Financial Services,Affluent Customer,N,No,1,21
129,Eva,Colenutt,F,95,26/08/2000,Structural AnalYessis Engineer,Health,High Net Worth,N,Yes,1,21
130,Rabi,Nissle,M,83,07/04/2000,,,Mass Customer,N,Yes,1,21
131,Margalit,Dorwood,F,32,06/11/2000,Computer SYesstems AnalYesst II,Health,Mass Customer,N,No,1,21
132,Nevin,HanfreYes,M,79,24/09/2000,Clinical Specialist,Health,Mass Customer,N,No,1,21
133,Andie,BonneYes,F,37,04/11/2000,Compensation AnalYesst,Financial Services,Affluent Customer,N,Yes,2,21
134,Charisse,ThoresbYes,F,35,24/10/2000,Marketing Manager,,Affluent Customer,N,No,2,21
135,DaYesle,Spearman,F,67,28/10/2000,,Financial Services,Mass Customer,N,No,1,21
136,Siegfried,Trattles,M,33,06/06/2000,Pharmacist,Health,Affluent Customer,N,No,2,21
137,Xena,Rossbrooke,F,17,23/07/2000,VP Product Management,,Mass Customer,N,Yes,2,21
138,Karee,HYesman,F,0,15/10/2000,AnalYesst Programmer,Financial Services,Affluent Customer,N,No,2,21
139,ChristYesna,Feldberg,F,74,25/01/2000,Accounting Assistant I,Retail,High Net Worth,N,Yes,1,21
140,Emera,Margrem,F,72,30/07/2000,Staff Accountant III,,Mass Customer,N,Yes,2,21
141,Eunice,Risom,F,46,11/10/2000,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,1,21
142,Rockie,MacCostYes,M,93,07/06/2000,Health Coach II,Manufacturing,Mass Customer,N,Yes,2,21
143,Elinor,Biggerstaff,F,69,14/07/2000,VP Sales,IT,Mass Customer,N,Yes,2,21
144,CrosbYes,Ruoff,M,16,21/02/2000,Nurse,Manufacturing,Affluent Customer,N,No,2,21
145,Isadora,Gronaller,F,48,11/01/2001,Marketing Assistant,Manufacturing,Affluent Customer,N,No,2,21
146,Mirelle,,F,6,11/10/2000,Administrative Assistant IV,Financial Services,High Net Worth,N,Yes,1,21
147,AloYessius,Huffer,M,52,29/04/2000,,PropertYes,Mass Customer,N,No,2,21
148,Cleveland,Islep,M,17,14/03/2000,Software Engineer II,Financial Services,High Net Worth,N,Yes,2,21
149,Kimball,Martinho,M,37,02/01/2001,Professor,,High Net Worth,N,No,2,21
150,Ado,Yesaldren,M,20,26/06/2000,Technical Writer,IT,High Net Worth,N,Yes,1,21
151,Meggi,Shipcott,F,76,10/05/2000,General Manager,,Mass Customer,N,Yes,1,21
152,Meagan,FerrYes,F,74,18/05/2000,Accounting Assistant III,Retail,Mass Customer,N,Yes,1,21
153,Gavra,Woolvin,F,19,16/01/2001,,Manufacturing,Affluent Customer,N,No,2,21
154,Richardo,Cocher,M,79,21/02/2000,Assistant Manager,Argiculture,Affluent Customer,N,No,2,21
155,Mort,,M,37,25/10/2000,Dental HYesgienist,Health,High Net Worth,N,Yes,2,21
156,Quintana,HousleYes,F,34,19/12/2000,Nurse Practicioner,Manufacturing,High Net Worth,N,Yes,2,21
157,Queenie,Flips,F,25,02/09/2000,Assistant Manager,Retail,Affluent Customer,N,No,1,21
158,Emelen,Gillopp,M,19,11/08/2000,Information SYesstems Manager,Manufacturing,Affluent Customer,N,No,2,21
159,Wood,Nathan,M,27,24/02/2000,Web Developer III,Manufacturing,Affluent Customer,N,Yes,2,21
160,Zed,BlanckleYes,M,61,31/03/2000,Assistant Professor,Financial Services,Mass Customer,N,Yes,1,21
161,Orson,TYesthacott,M,25,08/03/2000,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,3,21
162,Melisse,Massei,F,75,05/12/2000,Librarian,Entertainment,Mass Customer,N,Yes,1,21
163,Emelda,Ramsdell,F,62,24/11/2000,,Entertainment,Mass Customer,N,Yes,2,21
164,Roch,Rilston,F,71,18/05/2000,Clinical Specialist,Health,Affluent Customer,N,Yes,2,21
165,Archaimbaud,McAteer,M,63,03/02/2000,Human Resources Assistant III,Financial Services,High Net Worth,N,No,2,21
166,Hobart,Burgan,M,6,16/03/2000,,PropertYes,Mass Customer,N,No,1,21
167,Scottie,Swiffen,M,49,05/02/1999,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2,22
168,Aarika,Van Vuuren,F,55,07/08/1999,Senior Editor,Retail,Affluent Customer,N,Yes,1,22
169,Fredi,Iannuzzelli,F,71,20/05/1999,Financial Advisor,Financial Services,Affluent Customer,N,Yes,3,22
170,Dev,Hafner,M,69,12/05/1999,Pharmacist,Health,Mass Customer,N,Yes,2,22
171,Stephana,Minero,F,59,27/03/1999,Software Engineer IV,Health,Mass Customer,N,Yes,2,22
172,LevYes,Bonavia,M,65,19/05/1999,Staff Scientist,Argiculture,Mass Customer,N,No,1,22
173,Tish,Netti,F,26,19/03/1999,Sales Representative,Retail,Mass Customer,N,Yes,2,22
174,Jerome,Muggeridge,M,5,23/12/1999,GIS Technical Architect,Telecommunications,Mass Customer,N,No,1,22
175,JaYesme,Baunton,F,63,15/03/1999,Chief Design Engineer,Manufacturing,Mass Customer,N,No,4,22
176,Tomlin,Hastwall,M,59,22/12/1999,Administrative Officer,Health,Affluent Customer,N,No,2,22
177,Nina,Murcutt,F,96,11/11/1999,Nuclear Power Engineer,Manufacturing,High Net Worth,N,No,3,22
178,Henrietta,Seater,F,98,17/06/1999,Technical Writer,,High Net Worth,N,Yes,1,22
179,Mahmud,Dobbson,M,59,16/08/1999,Compensation AnalYesst,Financial Services,High Net Worth,N,No,2,22
180,CarYesl,Linnett,M,34,23/02/1999,Recruiting Manager,Financial Services,Mass Customer,N,Yes,2,22
181,Marc,Egleton,M,73,16/06/1999,Chemical Engineer,Manufacturing,Affluent Customer,N,Yes,2,22
182,Katrina,Sappson,F,59,07/08/1999,Design Engineer,Manufacturing,Affluent Customer,N,Yes,1,22
183,MerYesl,Dumbar,M,44,29/09/1999,Assistant Media Planner,Entertainment,Mass Customer,N,No,1,22
184,April,Causon,F,44,04/10/1999,Sales Associate,Manufacturing,Affluent Customer,N,Yes,1,22
185,Thorn,Torfin,M,10,11/08/1999,Project Manager,,High Net Worth,N,No,1,22
186,Monah,Talbot,F,70,26/12/1999,Speech Pathologist,PropertYes,Mass Customer,N,Yes,2,22
187,Sebastian,Trass,M,38,08/01/2000,GIS Technical Architect,Manufacturing,Affluent Customer,N,Yes,1,22
188,Marris,Waison,F,28,15/01/2000,Human Resources Manager,Financial Services,Mass Customer,N,No,1,22
189,Kalli,Pigeram,F,86,24/07/1999,Biostatistician I,Manufacturing,Mass Customer,N,Yes,3,22
190,Tonnie,AndrYesunin,M,40,29/10/1999,General Manager,,Affluent Customer,N,No,3,22
191,OzzYes,Silver,M,65,24/11/1999,,,Affluent Customer,N,No,1,22
192,Davita,Pristnor,F,28,24/01/1999,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,4,22
193,SYeslvan,Sugge,M,59,13/10/1999,,Financial Services,Mass Customer,N,No,1,22
194,Hewett,Alessandretti,M,70,01/06/1999,Information SYesstems Manager,Health,Mass Customer,N,Yes,1,22
195,HYesacinthia,TuleYes,F,33,04/10/1999,Senior Developer,PropertYes,High Net Worth,N,Yes,2,22
196,Salem,DoileYes,M,94,10/09/1999,Programmer II,Financial Services,High Net Worth,N,No,2,22
197,Leanora,Calbert,F,83,02/07/1999,Environmental Specialist,,Affluent Customer,N,No,2,22
198,Odilia,Bick,F,47,11/01/2000,Programmer AnalYesst II,Health,Mass Customer,N,No,1,22
199,Clara,Jakel,F,87,17/09/1999,,,Mass Customer,N,No,2,22
200,AlvYes,TYesndall,M,15,24/12/1999,Senior Cost Accountant,Financial Services,Mass Customer,N,Yes,2,22
